N,P,K,temperature,humidity,ph,rainfall,label
90,40,40,20.87974371,82.00274423,6.502985292,202.936371,rice
85,45,35,21.49944248,80.31964408,7.018601018,262.717376,rice
60,55,45,22.18075045,81.60487357,7.221135536,220.494427,rice
70,50,40,21.08510313,81.10804416,6.975035232,215.530805,rice
75,45,38,20.65834532,81.69273095,6.964415212,210.499078,rice
80,42,42,21.03580428,82.57285894,6.549326324,205.903257,rice
85,40,38,20.94793304,82.12477567,6.570269447,209.928571,rice
90,45,40,21.57944802,81.62215891,6.512010953,215.492856,rice
70,50,45,21.38689894,81.69273095,6.509249078,213.499078,rice
75,48,42,21.78823529,81.71764706,6.552941176,215.0,rice
65,50,40,22.0,82.0,6.5,220.0,rice
80,45,38,21.5,81.0,6.7,218.0,rice
85,42,40,21.2,82.5,6.6,216.0,rice
75,48,42,21.8,81.5,6.55,214.0,rice
70,52,44,21.3,82.0,6.65,217.0,rice
90,40,40,20.87974371,82.00274423,6.502985292,202.936371,rice
60,55,45,22.18075045,81.60487357,7.221135536,220.494427,rice
70,50,40,21.08510313,81.10804416,6.975035232,215.530805,rice
75,45,38,20.65834532,81.69273095,6.964415212,210.499078,rice
80,42,42,21.03580428,82.57285894,6.549326324,205.903257,rice
85,40,38,20.94793304,82.12477567,6.570269447,209.928571,rice
90,45,40,21.57944802,81.62215891,6.512010953,215.492856,rice
70,50,45,21.38689894,81.69273095,6.509249078,213.499078,rice
75,48,42,21.78823529,81.71764706,6.552941176,215.0,rice
65,50,40,22.0,82.0,6.5,220.0,rice
80,45,38,21.5,81.0,6.7,218.0,rice
85,42,40,21.2,82.5,6.6,216.0,rice
75,48,42,21.8,81.5,6.55,214.0,rice
70,52,44,21.3,82.0,6.65,217.0,rice
50,60,50,25.0,60.0,5.5,150.0,wheat
45,55,55,24.0,58.0,5.8,145.0,wheat
55,58,48,26.0,62.0,5.6,155.0,wheat
48,52,52,23.5,59.0,5.7,148.0,wheat
52,56,50,24.5,61.0,5.9,152.0,wheat
50,60,50,25.0,60.0,5.5,150.0,wheat
45,55,55,24.0,58.0,5.8,145.0,wheat
55,58,48,26.0,62.0,5.6,155.0,wheat
48,52,52,23.5,59.0,5.7,148.0,wheat
52,56,50,24.5,61.0,5.9,152.0,wheat
50,60,50,25.0,60.0,5.5,150.0,wheat
45,55,55,24.0,58.0,5.8,145.0,wheat
55,58,48,26.0,62.0,5.6,155.0,wheat
